"site","material","lab_no","c14_age","c14_error","reference"
"Burnham-Shepard_1","bean","B-29619",550,60,"Hart_and_others"
"Skitchewaug_F32_1","bean","AA-29119",670,45,"Hart_and_others"
"Skitchewaug_F5ab_1","bean","AA-29120",765,50,"Hart_and_others"
"Skitchewaug_F46_1","bean","AA-29121",600,50,"Hart_and_others"
"Broome_Tech_1","bean","AA-31007",380,40,"Hart_and_others"
"Roundtop_F35_1","bean","AA-23106",658,48,"Hart_and_others"
"Roundtop_F35_2","maize","AA-21979",675,55,"Hart_and_others"
"Roundtop_post_mold_1","bean","AA-26540",315,45,"Hart_and_others"
"Thomas_Luckey_F78_1","bean","AA-29122",695,45,"Hart_and_others"
"Gnagey_F30_1","bean","AA-29117",610,55,"Hart_and_others"
"Gnagey_F13D_1","bean","AA-29118",635,45,"Hart_and_others"
"Onoville_Bridge_F103_1","bean","AA-38454",628,33,"Hart_and_others"
"Onoville_Bridge_F103_2","maize","AA-38455",624,33,"Hart_and_others"
"Kelly_F7_1","bean","TO-8063",770,50,"Hart_and_others"
"Campbell_Farm_F352_1","bean","AA-40132",462,38,"Hart_and_others"
"Campbell_Farm_F352_2","maize","AA-40133",794,38,"Hart_and_others"
"Portman_Trench_44_1","bean","AA-38456",682,33,"Hart_and_others"
"Saddle_F35_1","bean","AA-38457",675,33,"Hart_and_others"
"Saddle_F35_2","maize","AA-38458",605,34,"Hart_and_others"
"Blennerhassett_F23_N_1","bean","AA-38463",277,33,"Hart_and_others"
"Blennerhassett_F23_S_1","bean","AA-38464",301,33,"Hart_and_others"
"Blain_Village_House1_1","bean","AA-16854",510,60,"Hart_and_others"
"Blain_Village_Pit4_1","maize","AA-16853",420,60,"Hart_and_others"
"Baldwin1_1","bean","AA-38459",542,33,"Hart_and_others"
"Baldwin2_1","bean","AA-38460",494,33,"Hart_and_others"
"Gartner1_1","bean","AA-38461",579,33,"Hart_and_others"
"Gartner2_1","bean","AA-38462",593,33,"Hart_and_others"
"Sunwatch_F1_77_1","bean","A-0175",652,42,"Hart_and_others"
"Fox_Farm_FG09_1","bean","AA-38466",683,33,"Hart_and_others"
"Fox_Farm_FG09_2","maize","AA-38467",592,33,"Hart_and_others"
"Bakers_Trails_F11_1","bean","AA-40134",539,39,"Hart_and_others"
"Murphy_142_43_41_1","bean","AA-38966",603,36,"Hart_and_others"
"Noble_Weiting_F8_1_1","bean","AA-38964",621,36,"Hart_and_others"
"Noble_Weiting_F8_2_1","bean","AA-38965",634,36,"Hart_and_others"
"Orendorf_F761_1","bean","A-0177",655,43,"Hart_and_others"
"Orendorf_F761_2","maize","AA-38968",698,33,"Hart_and_others"
"Orendorf_F782_1","bean","AA-38967",712,33,"Hart_and_others"
"Morton_F3_1","bean","AA-38473",675,33,"Hart_and_others"
"Morton_F3_2","maize","AA-38474",692,33,"Hart_and_others"
"Larson_F140_1","bean","A-0176",757,44,"Hart_and_others"
"Larson_F140_2","maize","AA-38476",704,33,"Hart_and_others"
"Larson_House75_1","bean","A-0174",650,43,"Hart_and_others"
"Larson_House75_2","maize","AA-38478",719,33,"Hart_and_others"
"Hill_Creek_F1_07C_1","bean","AA-38471",734,33,"Hart_and_others"
"Hill_Creek_F1_07C_2","maize","AA-38472",772,37,"Hart_and_others"
"Hill_Creek_F1_04PB_1","bean","AA-40135",641,39,"Hart_and_others"
"Hill_Creek_F1_04PB_2","maize","AA-40136",733,55,"Hart_and_others"
"Worthy_Merrigan_1243B_1","bean","AA-40138",594,49,"Hart_and_others"
"Worthy_Merrigan_1243B_2","maize","AA-38470",615,41,"Hart_and_others"
"Pere_Marquette_F22_01P_1","maize","AA-40137",642,36,"Hart_and_others"
"Diable_35G_1_1","bean","UCIAMS-257109",340,15,"Hart_and_others"
"Diable_35G_2_1","bean","UCIAMS-257110",355,15,"Hart_and_others"
"Diable_20B_bean_1","bean","UCIAMS-257111",340,15,"Hart_and_others"
"Diable_20_1","maize","UCIAMS-236881",380,15,"Hart_and_others"
"Diable_20B_1_1","maize","UCIAMS-236882",380,20,"Hart_and_others"
"Diable_20B_2_1","maize","UCIAMS-236883",370,20,"Hart_and_others"
"Diable_02A_1","maize","UCIAMS-236884",340,15,"Hart_and_others"
"Maxon-Derby_1","maize","UGAMS-53047",741,20,"Hart_and_others"
"Maxon-Derby_2","maize","UGAMS-53047r",829,25,"Hart_and_others"
"Maxon-Derby_3","maize","UGAMS-53048",777,21,"Hart_and_others"
"Maxon-Derby_4","maize","UGAMS-53049",788,21,"Hart_and_others"
"Bates_1","maize","UGAMS-53045",670,21,"Hart_and_others"
"Bates_2","maize","UGAMS-53046",546,20,"Hart_and_others"
"Bates_3","maize","UGAMS-53046r",637,25,"Hart_and_others"
"Potocki_1","maize","UGAMS-30327",360,25,"Hart_and_others"
"Potocki_2","maize","UGAMS-30326",310,25,"Hart_and_others"
"Potocki_3","maize","UCIAMS-205969",370,15,"Hart_and_others"
"Potocki_4","maize","UCIAMS-205970",365,15,"Hart_and_others"
"Durfee_1","maize","UGAMS-31485",315,20,"Hart_and_others"
"Durfee_2","maize","UGAMS-31486",335,20,"Hart_and_others"
"Durfee_3","maize","UCIAMS-205978",345,15,"Hart_and_others"
"Morse_1","maize","UCIAMS-205977",345,20,"Hart_and_others"
"Morse_2","maize","UGAMS-37383",315,20,"Hart_and_others"
"Carlos_1","maize","UGAMS-37382",365,20,"Hart_and_others"
"Heath_1","maize","UGAMS-34187",340,20,"Hart_and_others"
"Heath_2","maize","UGAMS-34188",320,20,"Hart_and_others"
"Heath_3","maize","UCIAMS-205979",365,15,"Hart_and_others"
"Talcott_Falls_1","maize","UGAMS-34445",320,20,"Hart_and_others"
"Talcott_Falls_2","maize","UGAMS-34446",315,20,"Hart_and_others"
"Talcott_Falls_3","maize","UCIAMS-207138",415,15,"Hart_and_others"
"Talcott_Falls_4","maize","UCIAMS-205976",345,50,"Hart_and_others"
"Whitford_1","maize","UGAMS-30328",310,25,"Hart_and_others"
"Whitford_2","maize","UGAMS-30931",310,20,"Hart_and_others"
"Whitford_3","maize","UCIAMS-205972",335,20,"Hart_and_others"
"Whitford_4","maize","UCIAMS-205973",355,20,"Hart_and_others"
"Durham_1","maize","UGAMS-30325",350,25,"Hart_and_others"
"Durham_2","maize","UGAMS-30324",345,25,"Hart_and_others"
"Durham_3","maize","UCIAMS-205971",380,15,"Hart_and_others"
"Camp_Drum_1_1","maize","UGAMS-30323",380,25,"Hart_and_others"
"Camp_Drum_1_2","maize","UGAMS-30322",350,25,"Hart_and_others"
"Sanford_Corners_1","maize","UGAMS-26745",390,20,"Hart_and_others"
"Sanford_Corners_2","maize","UGAMS-26744",360,20,"Hart_and_others"
"Sanford_Corners_3","maize","UCIAMS-205974",410,20,"Hart_and_others"
"Sanford_Corners_4","maize","UCIAMS-205975",360,15,"Hart_and_others"
"St_Lawrence_1","maize","UGAMS-26743",400,20,"Hart_and_others"
"St_Lawrence_2","maize","UGAMS-26742",385,20,"Hart_and_others"
"Pine_Hill_1","maize","UGAMS-37380",355,20,"Hart_and_others"
"Pine_Hill_2","maize","UGAMS-37381",390,20,"Hart_and_others"
"Sharrow_1","squash","AA-7491",5695,100,"Hart_and_others"
"Memorial_Park_1","squash","AA-19129",5404,552,"Hart_and_others"
"Memorial_Park_2","squash","AA-19128",2625,45,"Hart_and_others"
"Thomas_Luckey_F175","maize","AA41932",381,45,"Hart_and_others"
"Thomas_Luckey_F186","bean","AA41936",393,45,"Hart_and_others"
"Thomas_Luckey_F134","maize","AA41926",418,44,"Hart_and_others"
"Thomas_Luckey_F125","maize","AA41929",427,45,"Hart_and_others"
"Thomas_Luckey_F170","maize","AA41930",460,44,"Hart_and_others"
"Thomas_Luckey_F140","maize","AA41933",483,58,"Hart_and_others"
"Thomas_Luckey_F117","maize","AA41925",510,45,"Hart_and_others"
"Thomas_Luckey_F188","maize","AA41935",616,72,"Hart_and_others"
"Thomas_Luckey_F119","bean","AA41924",640,46,"Hart_and_others"
"Thomas_Luckey_F152","maize","AA41928",705,45,"Hart_and_others"
"Thomas_Luckey_F171","maize","AA41927",707,52,"Hart_and_others"
"Thomas_Luckey_F199","maize","AA41937",720,46,"Hart_and_others"
"Thomas_Luckey_F154","maize","AA41931",840,45,"Hart_and_others"
"Broome_Tech_PAF","bean","AA31007",380,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F58","maize","Beta-196043",640,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F7","maize","AA31005",705,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_Midden","squash","AA31006",820,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F46","maize","Beta-196050",840,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F9","maize","Beta-196038",960,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F15","maize","Beta-196039",990,40,"Miroff_Kudrle_2017"
"Broome_Tech_PAF_F46b","maize","Beta-196046",1050,40,"Miroff_Kudrle_2017"
"Otsiningo_Market_F1","maize","Beta-379672",670,30,"Miroff_2014"
"Otsiningo_Market_F5","maize","Beta-378839",600,30,"Miroff_2014"
"Otsiningo_Market_F10C","bean","Beta-378840",690,30,"Miroff_2014"
"Chenango_Point_South_F90","maize","Beta-309041",270,30,"Miroff_2012"
"Chenango_Point_South_F46","maize","Beta-309040",300,30,"Miroff_2012"
"Chenango_Point_South_F176","maize","Beta-309042",300,30,"Miroff_2012"
"Chenango_Point_South_F275","maize","Beta-309044",550,30,"Miroff_2012"
"Chenango_Point_South_F180","maize","Beta-309043",600,30,"Miroff_2012"
"Chenango_Point_F348","maize","Beta-265478",660,40,"Knapp_2011"
"Chenango_Point_F401","maize","Beta-265479",700,40,"Knapp_2011"
"Chenango_Point_F102","maize","Beta-265473",740,40,"Knapp_2011"
"Chenango_Point_F105","maize","Beta-265474",740,40,"Knapp_2011"
"Chenango_Point_F118","maize","Beta-265475",760,40,"Knapp_2011"
"Chenango_Point_F119","maize","Beta-265476",860,40,"Knapp_2011"
"Chenango_Point_F383","bean","Beta-265480",920,40,"Knapp_2011"
"JW_Wadsworth2_F216","maize","Beta-562497",920,30,"Zlotucha_Kozub_2021"
"JW_Wadsworth2_F213","maize","Beta-562496",920,30,"Zlotucha_Kozub_2021"
"JW_Wadsworth2_F41","maize","Beta-562495",910,30,"Zlotucha_Kozub_2021"
"JW_Wadsworth2_F232","maize","Beta-564629",840,30,"Zlotucha_Kozub_2021"
"Wampsville_Cowaselon_F270","maize","557214",570,30,"Kudrle_Horn_Miroff_2020"
"Wampsville_Cowaselon_F333","maize","557217",580,30,"Kudrle_Horn_Miroff_2020"
"Lords_Wells_F35","maize","Beta-598161",920,30,"Kudrle_Seib_Miroff_2021"
"Lords_Wells_F43","maize","Beta-598162",750,30,"Kudrle_Seib_Miroff_2021"
"Lords_Wells_F52","maize","Beta-598163",870,30,"Kudrle_Seib_Miroff_2021"
"Lords_Wells_F56","maize","Beta-598164",890,30,"Kudrle_Seib_Miroff_2021"
"Chenango_Shores_East_F32","maize","641005",900,30,"Kudrle_2023"
"Chenango_Shores_East_F49","maize","641008",890,30,"Kudrle_2023"
"Chenango_Shores_East_F54","maize","641010",360,30,"Kudrle_2023"
"Ayers1_F82","maize","66110",890,20,"Ferri_2024"
"CCE_Site_F1","maize","Beta-388174",330,30,"Kudrle_2015"
"CCE_Site_F2","maize","Beta-407871",390,30,"Kudrle_2015"
"CCE_Site_F13","maize","Beta-407873",450,30,"Kudrle_2015"
"CCE_Site_F22","maize","Beta-407874",370,30,"Kudrle_2015"
"Deposit_Airport1_F6","maize","Beta-168303",930,60,"Knapp_Versaggi_2002"
"Deposit_Airport1_F34","maize","Beta-168307",920,40,"Knapp_Versaggi_2002"
