"calBP","AD","mean","median","lo50","hi50","lo95","hi95"
0,1950,0.04825,0,0,0,0,1
10,1940,0.067,0,0,0,0,1
20,1930,0.08125,0,0,0,0,1
30,1920,0.08875,0,0,0,0,1
40,1910,0.09725,0,0,0,0,1
50,1900,0.10275,0,0,0,0,1
60,1890,0.11225,0,0,0,0,1
70,1880,0.11875,0,0,0,0,1
80,1870,0.123,0,0,0,0,1
90,1860,0.13375,0,0,0,0,1
100,1850,0.14075,0,0,0,0,1
110,1840,0.1595,0,0,0,0,1
120,1830,0.1745,0,0,0,0,1
130,1820,0.202,0,0,0,0,1
140,1810,0.2425,0,0,0,0,1
150,1800,0.28675,0,0,1,0,2
160,1790,0.32725,0,0,1,0,2
170,1780,0.34175,0,0,1,0,2
180,1770,0.344,0,0,1,0,2
190,1760,0.3425,0,0,1,0,2
200,1750,0.3465,0,0,1,0,2
210,1740,0.3545,0,0,1,0,2
220,1730,0.3675,0,0,1,0,2
230,1720,0.3955,0,0,1,0,2
240,1710,0.4525,0,0,1,0,2
250,1700,0.52325,0,0,1,0,2
260,1690,0.64325,1,0,1,0,2
270,1680,0.81,1,0,1,0,3
280,1670,1.0055,1,0,2,0,3
290,1660,1.17825,1,1,2,0,3
300,1650,1.26725,1,1,2,0,3
310,1640,1.2815,1,1,2,0,3
320,1630,1.25875,1,1,2,0,3
330,1620,1.246,1,1,2,0,3
340,1610,1.236,1,0,2,0,3
350,1600,1.23275,1,0,2,0,3
360,1590,1.25625,1,1,2,0,3
370,1580,1.3075,1,1,2,0,4
380,1570,1.357,1,1,2,0,4
390,1560,1.43375,1,1,2,0,4
400,1550,1.5265,1,1,2,0,4
410,1540,1.6285,2,1,2,0,4
420,1530,1.77325,2,1,2,0,4
430,1520,1.93575,2,1,3,0,5
440,1510,2.158,2,1,3,0,5
450,1500,2.4465,2,1,3,0,5
460,1490,2.801,3,2,4,0,6
470,1480,3.2705,3,2,4,1,6
480,1470,3.74725,4,3,5,1,6
490,1460,4.12925,4,3,5,2,7
500,1450,4.37075,4,3,5,2,7
510,1440,4.502,4,4,5,2,7
520,1430,4.55775,5,4,5,2,7
530,1420,4.61,5,4,6,2,7
540,1410,4.606,5,4,6,2,7
550,1400,4.584,5,4,6,2,7
560,1390,4.56825,4,4,6,2,8
570,1380,4.4705,4,3,5,2,7
580,1370,4.22875,4,3,5,1,7
590,1360,3.8445,4,3,5,1,7
600,1350,3.512,3,2,5,1,7
610,1340,3.31275,3,2,4,1,6
620,1330,3.251,3,2,4,1,6
630,1320,3.32475,3,2,4,1,6
640,1310,3.3985,3,2,4,1,6
650,1300,3.3115,3,2,4,1,6
660,1290,2.99675,3,2,4,1,6
670,1280,2.567,2,2,3,0,6
680,1270,2.233,2,1,3,0,5
690,1260,2.1045,2,1,3,0,5
700,1250,2.112,2,1,3,0,5
710,1240,2.279,2,1,3,0,5
720,1230,2.552,2,2,3,0,5
730,1220,2.95325,3,2,4,1,6
740,1210,3.3895,3,2,4,1,6
750,1200,3.73975,4,3,5,1,7
760,1190,3.88775,4,3,5,1,7
770,1180,3.86775,4,3,5,1,7
780,1170,3.71625,4,3,5,1,7
790,1160,3.419,3,2,4,1,7
800,1150,3.07625,3,2,4,0,6
810,1140,2.844,3,2,4,0,6
820,1130,2.722,3,2,4,0,6
