"site","n","max_rhat","min_ess_bulk","min_ess_tail","n_divergent","n_max_treedepth","ebfmi_min"
"Apalachin Creek",3,1.01095092317023,530.077758885383,745.389322147243,128,0,0.751205300741548
"Ayers1",2,1.01189176095657,762.721120454306,1469.58164418562,0,0,0.835579631275877
"Bates",11,1.00186154020099,1363.06705237684,688.611407505446,0,0,0.836077951679115
"Broome_Tech",10,1.01461263373558,588.496289399365,886.566740593835,830,0,0.771646234010493
"Castle Creek",2,1.00278897175258,3032.43951382785,1505.8365295321,0,0,0.819791940320492
"CCE_Site",7,1.01974899844214,370.962745359994,765.514328991488,3,0,0.833049040728211
"Chenango_Point",19,1.00531776992733,1017.19189097697,316.657089216289,107,0,0.807945445653749
"Chenango_Shores_East",5,1.00473508913696,1900.03806748128,786.019499172711,3,0,0.80278335397746
"Denton Reed 2",1,1.00268690840246,1233.76398770156,1411.01334357605,6,0,0.825955221387529
"Deposit_Airport1",4,1.00175606878167,2683.63714411459,1923.67037968291,0,0,0.852659453433012
"Egli",2,1.00128539121848,1736.57802788098,1991.77776581602,0,0,0.786937007170701
"Engelbert",3,1.00208437525369,3415.95771928996,2380.69900011721,0,0,0.873178303538159
"Fortin",4,1.00232430126629,1690.07922989939,646.066431976967,4,0,0.770049413139584
"Gardepe",1,1.00392102945858,3143.07301492225,1130.30561403323,0,0,0.792578573900862
"Herrick Hollow I",1,1.01046611466667,2131.40901370175,1050.55907758791,31,0,0.829726623718233
"Herrick Hollow II",3,1.00578801894673,956.607399211522,2275.25639750763,0,0,0.836877032435017
"Herrick Hollow V",1,1.00498467582103,1404.71908511358,497.97309928061,34,0,0.768985252627678
"Jamba",8,1.00268670197787,3030.22699936401,2053.35440764774,0,0,0.822353376681678
"Lamb",3,1.00193993352083,2625.74602113166,2332.11865737889,0,0,0.795406859510763
"Lamoree",1,1.49956083890803,7.44934352282921,42.823793379123,1006,0,0.833324561502781
"Lords_Wells",4,1.00615260270418,955.628963286184,343.302568913908,0,0,0.863647100362276
"Otsiningo_Market",3,1.00412083647891,1043.94580768577,1892.83763024658,0,0,0.806155335084681
"Owego River Crossing",5,1.00457491718,1679.29968219558,476.19470091979,0,0,0.817883169431724
"Owego Southside Sewage Treatment",6,1.00303432356791,2834.80298958956,1370.51845730381,5,0,0.83454799503972
"PC2",3,1.00056136674883,2034.41654937091,2135.82976875419,0,0,0.834722822838589
"Port Dickinson",4,1.00239382247388,4903.34448215607,1921.41695739122,0,0,0.845884643511157
"Raish-2",1,1.00442778009468,1503.71576058801,760.880178350076,45,0,0.760766078620305
"Roberson",1,1.00339267647405,2101.25104085406,1122.86347502213,0,0,0.84376811650784
"Roundtop",11,1.00548662184777,984.603776796066,554.322773500147,0,0,0.798871847811505
"Russ",1,1.00555855254797,1868.0114919282,1367.17344403056,5,0,0.830843175588057
"Sidney Airport",5,1.00230610548674,3077.88527590603,1071.56849412508,0,0,0.831585292757099
"Street",8,1.00156018277493,2493.94752492756,1967.75056941729,0,0,0.860294403858708
"Thomas_Luckey",20,1.01134311955962,383.489105829823,1385.0235372523,0,0,0.818435827780198
"White",1,1.00335071808637,2842.99449160213,1526.95141928642,0,0,0.813316130751684
