"site_a","site_b","median_years","lo95","hi95","p_ge_25","p_any"
"Apalachin Creek","Ayers1",0,0,0,0.001,0.00125
"Apalachin Creek","Bates",0,0,10,0.01575,0.02575
"Apalachin Creek","Broome_Tech",0,0,20,0.02375,0.0335
"Apalachin Creek","Castle Creek",0,0,60,0.07275,0.103
"Apalachin Creek","CCE_Site",50,0,230,0.67325,0.74925
"Apalachin Creek","Chenango_Point",0,0,180,0.248,0.3095
"Apalachin Creek","Chenango_Shores_East",0,0,0,0.00325,0.0045
"Apalachin Creek","Denton Reed 2",0,0,0,0,0
"Apalachin Creek","Deposit_Airport1",0,0,0,0.00075,0.001
"Apalachin Creek","Egli",0,0,40,0.04425,0.065
"Apalachin Creek","Engelbert",0,0,80,0.146,0.2135
"Apalachin Creek","Fortin",0,0,0,0.01025,0.01475
"Apalachin Creek","Gardepe",0,0,0,0.0075,0.01075
"Apalachin Creek","Herrick Hollow I",0,0,0,0.00375,0.0055
"Apalachin Creek","Herrick Hollow II",0,0,0,5e-04,0.00125
"Apalachin Creek","Herrick Hollow V",0,0,0,0.00475,0.0065
"Apalachin Creek","Jamba",0,0,80,0.0905,0.1205
"Apalachin Creek","Lamb",0,0,70,0.119,0.16625
"Apalachin Creek","Lamoree",0,0,0,0.012,0.01575
"Apalachin Creek","Lords_Wells",0,0,0,0.0015,0.0025
"Apalachin Creek","Otsiningo_Market",0,0,30,0.0285,0.043
"Apalachin Creek","Owego River Crossing",0,0,40,0.0395,0.0525
"Apalachin Creek","Owego Southside Sewage Treatment",0,0,80,0.1195,0.1725
"Apalachin Creek","PC2",0,0,60,0.0575,0.074
"Apalachin Creek","Port Dickinson",0,0,0,0.00025,0.00075
"Apalachin Creek","Raish-2",0,0,70,0.0885,0.1295
"Apalachin Creek","Roberson",0,0,0,0.001,0.002
"Apalachin Creek","Roundtop",0,0,150,0.19075,0.24325
"Apalachin Creek","Russ",0,0,80,0.22475,0.3295
"Apalachin Creek","Sidney Airport",0,0,90,0.283,0.41275
"Apalachin Creek","Street",0,0,0,0.001,0.0035
"Apalachin Creek","Thomas_Luckey",0,0,120,0.09525,0.12225
"Apalachin Creek","White",0,0,0,0.00875,0.013
"Ayers1","Bates",0,0,20,0.01975,0.03325
