"site","max_rhat","min_ess_bulk","min_ess_tail","n_divergent","n_max_treedepth","ebfmi_min"
"Apalachin Creek",2.223756792165,5.15333239283315,18.4458460882329,3301,62,0.730360910697189
"Ayers1",1.00678438305149,378.084339173152,710.714487914984,284,0,0.7952927006308
"Bates",1.65251492948204,8.20371347363677,36.7266595787815,2426,39,0.777138496696835
"Broome_Tech",2.41595566208927,5.26844798397551,11.6421660978345,3854,126,0.622480777510316
"Castle Creek",1.00353930968009,1182.62572439148,1551.09512279901,201,0,0.812662417339293
"CCE_Site",1.76383377846271,6.12056293456183,11.8493796475539,2422,2,0.707989664482823
"Chenango_Point",3.05521425476046,4.54683612948171,14.5406737393492,3996,0,0.719465981235869
"Chenango_Shores_East",1.02460718279741,225.44648724919,74.4878059355078,0,0,0.800504797689556
"Denton Reed 2",1.00175772648319,1836.1819586278,1722.34038214324,11,0,0.89379214049557
"Deposit_Airport1",2.10000323652705,8.8355762240516,47.1582125749738,3033,17,0.841891298059178
"Egli",1.00437999299165,2309.64816413794,1438.36641603562,2,0,0.723254012593109
"Engelbert",1.00246156081985,1289.53688372384,1401.19983379945,254,0,0.83362971484594
"Fortin",2.02835041306169,5.86098820695185,12.9602640841571,2589,44,0.780172635039206
"Gardepe",1.00330823051241,2502.34474045467,1080.11555009053,0,0,0.822534620944877
"Herrick Hollow I",1.00206765530946,1891.01022641305,931.354967121962,29,0,0.799351483878581
"Herrick Hollow II",1.02688909866619,122.55746418734,40.3412465954404,0,0,0.742647371331661
"Herrick Hollow V",1.00344119798036,1998.66832894527,1111.17340663183,43,0,0.767433543155859
"Jamba",1.41334792766331,8.66849614547627,46.9476812592898,3445,0,0.938465986728366
"Lamb",1.0077476621983,436.363425438961,816.176343271666,126,0,0.795935720737674
"Lamoree",1.00228754121252,1521.57169997642,594.979415051784,21,0,0.788813669061443
"Lords_Wells",1.00863300809893,194.601593410569,570.650244938094,1215,0,0.848524589834007
"Otsiningo_Market",1.00289378030433,727.73829522801,1760.82617413384,0,0,0.847281153330627
"Owego River Crossing",1.0043824587887,960.003959865326,649.537003901428,49,0,0.7527845002874
"Owego Southside Sewage Treatment",1.10153772616315,33.5147759237149,70.7580383155932,2944,0,0.506554081642256
"PC2",1.00191591923,1474.77530144329,2127.29551135752,0,0,0.785971730372043
"Port Dickinson",1.00170202286515,4812.02271122918,2234.10510899723,0,0,0.888364492468886
"Raish-2",1.50391047970092,7.73053734541809,35.6252878230752,1031,0,0.774719251899742
"Roberson",1.00287872382711,1386.80129690863,533.646933944588,0,0,0.758650178828794
"Roundtop",1.51818857121095,8.80865778205041,47.2941542431773,3034,0,0.827818373101725
"Russ",1.00273808685208,1355.9204975465,804.222701626053,11,0,0.793321867036725
"Sidney Airport",1.53760468142653,7.87062144969985,22.8230422211664,3391,0,0.814671842338668
"Street",2.40382380361747,5.36984141303889,15.015382072203,3958,0,0.78340421656255
"Thomas_Luckey",2.82695291001813,4.6292731191113,11.4306871888842,3525,0,0.928807335663026
"White",1.00692600183131,2861.69267829859,820.58734817695,0,0,0.780719471736587
